start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
8850000	0.001095	0.001087	0.001167	0.001117	0.00036	0.00034	0.00029	0.0003	0.00112367	0.00033	-0.527903	-0.369448	False
8900000	0.0012185	0.0008475	0.0010375	0.0009775	0.00079	0.00078	0.00072	0.00053	0.000954167	0.000763333	-0.069583	-0.964897	False
8950000	0.0009365	0.0008215	0.0008055	0.0007765	0.00056	0.00049	0.00051	0.00017	0.000801167	0.00052	-1.11611	-1.50238	False
9000000	0.0007285	0.0007685	0.0008085	0.0007885	0.00028	0.00032	0.0003	0.00012	0.0007885	0.0003	-1.88802	-1.54688	False
9050000	0.0010205	0.000883	0.0008105	0.0007705	0.00055	0.00059	0.00055	0.0004	0.000821333	0.000563333	-0.804379	-1.43154	False
9100000	0.00124	0.00119	0.00119	0.00121	0.00037	0.00037	0.00039	2e-05	0.00119667	0.000376667	0.0102055	-0.113001	False
9150000	0.0011035	0.0010955	0.0011355	0.0011155	0.00103	0.00107	0.00105	8e-05	0.0011155	0.00105	-0.496358	-0.398137	False
9200000	0.0010275	0.0010775	0.0010875	0.0010575	0.00039	0.0004	0.00037	0.00015	0.00107417	0.000386667	-0.778401	-0.54334	False
9250000	0.0009565	0.000977	0.0009115	0.0009015	0.0006	0.00037	0.00036	0.00047	0.00093	0.000443333	-1.04189	-1.04979	False
9300000	0.0013085	0.0012495	0.0012495	0.0012895	0.0003	0.00034	0.00036	0.00018	0.00126283	0.000333333	0.264415	0.119441	False
9350000	0.001187	0.001118	0.00114	0.00116	0.00042	0.00046	0.00048	0.00012	0.00113933	0.000453333	-0.186482	-0.314411	False
9400000	0.001308	0.001337	0.001367	0.001367	0.00055	0.00058	0.00058	5e-05	0.001357	0.00057	0.26256	0.450246	False
9450000	0.001122	0.000933	0.000973	0.000933	0.00053	0.00057	0.00053	0.00012	0.000946333	0.000543333	-0.427703	-0.992415	False
9500000	0.001895	0.000972	0.001002	0.000922	0.00149	0.00152	0.00144	0.00029	0.000965333	0.00148333	2.44097	-0.925668	False
9550000	0.001242	0.001122	0.001162	0.001192	0.00028	0.00032	0.00035	0.0002	0.00115867	0.000316667	0.0176277	-0.246494	False
