start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
3850000	0.0013325	0.0013455	0.0013155	0.0013855	0.00043	0.0004	0.00047	1e-05	0.00134883	0.000433333	0.353481	0.421557	False
3900000	0.0006705	0.0007135	0.0008135	0.0007635	0.00034	0.00044	0.00039	2e-05	0.0007635	0.00039	-2.10326	-1.6347	False
3950000	0.001259	0.001119	0.001129	0.001099	0.00132	0.00133	0.0013	9e-05	0.00111567	0.00131667	0.0807162	-0.397551	False
4000000	0.00103	0.001187	0.001267	0.001177	0.00121	0.00129	0.0012	0.0003	0.00121033	0.00123333	-0.769124	-0.06499	False
4050000	0.0012685	0.0011385	0.0011685	0.0011385	0.00033	0.00034	0.00031	0.00013	0.0011485	0.000326667	0.115972	-0.282209	False
4100000	0.0015095	0.0013735	0.0013935	0.0013835	0.00043	0.00045	0.00044	6e-05	0.0013835	0.00044	1.01034	0.54334	False
4150000	0.001236	0.0014945	0.00161	0.00162	0.00123	0.00129	0.0013	0.00026	0.00157483	0.00127333	-0.00463886	1.21549	False
4200000	0.001609	0.001493	0.001475	0.001465	0.0007	0.00067	0.00064	0.00053	0.00147767	0.00067	1.3796	0.874145	False
4250000	0.0018825	0.0018225	0.0018025	0.0018525	0.00052	0.0005	0.00055	0.00028	0.00182583	0.000523333	2.39458	2.09724	False
4300000	0.0014415	0.0014515	0.0015215	0.0014915	0.00041	0.00048	0.00045	0.00017	0.00148817	0.000446667	0.75799	0.911031	False
4350000	0.0008575	0.0008775	0.0008875	0.0008775	0.00018	0.00019	0.00018	0.00019	0.000880833	0.000183333	-1.40929	-1.22251	False
4400000	0.001482	0.0015695	0.0015295	0.0015495	0.00129	0.00125	0.00127	0.0001	0.0015495	0.00127	0.908289	1.12649	False
4450000	0.0012045	0.001204	0.001264	0.001204	0.0004	0.00046	0.0004	0.00018	0.001224	0.00042	-0.121538	-0.0169794	False
4500000	0.001464	0.001574	0.001534	0.001494	0.0003	0.00023	0.00019	0.00018	0.001534	0.00024	0.84149	1.07204	False
4550000	0.0009485	0.0009315	0.0009005	0.0009215	0.00052	0.00045	0.00048	0.00024	0.000917833	0.000483333	-1.07158	-1.09253	False
4600000	0.001771	0.001461	0.001561	0.001541	0.00069	0.00079	0.00077	0.0002	0.001521	0.00075	1.98079	1.02637	False
4650000	0.0010835	0.0010635	0.0011235	0.0010935	0.00034	0.00036	0.00033	0.0003	0.0010935	0.000343333	-0.57058	-0.475422	False
4700000	0.0009725	0.0009685	0.0009685	0.0009485	0.00061	0.00077	0.00075	0.00034	0.000961833	0.00071	-0.982511	-0.937964	False
4750000	0.0011975	0.0012655	0.0012855	0.0012855	0.00057	0.00059	0.00059	0.00032	0.00127883	0.000583333	-0.147516	0.175649	False
4800000	0.0007795	0.0006895	0.0006995	0.0006895	0.00043	0.00044	0.00043	-4e-05	0.000692833	0.000433333	-1.69875	-1.88295	False
4850000	0.000936	0.000901	0.000891	0.000911	0.00052	0.00051	0.00053	-1e-05	0.000901	0.00052	-1.11797	-1.15167	False
4900000	0.0006825	0.0007125	0.0008125	0.0007625	0.00011	0.00021	0.00016	4e-05	0.0007625	0.00016	-2.05873	-1.63822	False
